Episodio,Tiempo(s),RecompensaTotal,Resultado
0,12.30,0.72,EXITO
3,15.12,0.69,EXITO
13,16.34,0.66,EXITO
14,16.86,0.63,EXITO
15,17.60,0.65,EXITO
16,18.30,0.59,EXITO
20,5.22,0.96,EXITO
22,10.74,0.79,EXITO
5,1.12,1.02,EXITO
26,4.82,0.95,EXITO
26,5.58,0.93,EXITO
27,9.48,0.78,EXITO
28,9.50,0.83,EXITO
30,16.60,0.71,EXITO
30,19.58,0.77,EXITO
30,15.26,0.72,EXITO
31,12.96,0.71,EXITO
32,13.84,0.81,EXITO
33,3.54,0.97,EXITO
33,4.49,0.92,EXITO
33,3.28,0.98,EXITO
34,17.79,0.67,EXITO
35,6.17,0.94,EXITO
34,11.96,0.87,EXITO
35,17.23,0.83,EXITO
8,8.06,0.92,EXITO
37,2.84,1.05,EXITO
37,12.12,0.85,EXITO
37,13.48,0.76,EXITO
37,8.18,0.84,EXITO
38,10.15,0.86,EXITO
38,9.58,1.03,EXITO
41,8.90,0.94,EXITO
40,3.54,1.00,EXITO
41,9.38,1.01,EXITO
41,10.44,0.84,EXITO
42,10.36,1.03,EXITO
44,6.92,0.90,EXITO
42,6.98,0.92,EXITO
43,7.32,0.91,EXITO
43,12.98,0.79,EXITO
43,13.68,0.82,EXITO
44,6.16,1.09,EXITO
46,6.58,1.12,EXITO
47,1.77,1.01,EXITO
44,7.50,1.14,EXITO
44,9.12,0.91,EXITO
45,8.04,1.03,EXITO
45,4.32,1.14,EXITO
45,7.70,0.95,EXITO
44,12.06,0.86,EXITO
46,7.34,1.08,EXITO
11,6.78,0.99,EXITO
46,7.62,1.09,EXITO
48,4.82,0.99,EXITO
47,6.08,0.94,EXITO
48,9.72,1.06,EXITO
49,3.96,0.95,EXITO
49,3.48,1.02,EXITO
50,8.64,0.98,EXITO
50,5.36,1.09,EXITO
51,5.76,1.08,EXITO
52,2.32,1.10,EXITO
53,6.13,0.90,EXITO
50,5.66,1.17,EXITO
54,7.40,0.98,EXITO
52,3.78,1.13,EXITO
53,0.98,1.00,EXITO
56,4.28,1.21,EXITO
54,2.18,1.19,EXITO
53,5.74,0.92,EXITO
57,5.88,1.17,EXITO
58,5.54,1.05,EXITO
55,4.66,0.94,EXITO
57,9.72,0.83,EXITO
58,4.89,1.00,EXITO
57,2.20,1.01,EXITO
59,6.96,0.98,EXITO
62,2.96,0.99,EXITO
58,3.18,0.97,EXITO
59,1.68,1.28,EXITO
63,2.00,1.01,EXITO
60,2.72,1.08,EXITO
59,7.86,1.04,EXITO
66,3.20,1.07,EXITO
64,3.14,1.03,EXITO
65,3.34,0.96,EXITO
63,5.90,1.08,EXITO
65,4.44,1.19,EXITO
67,8.54,0.84,EXITO
67,4.10,1.09,EXITO
68,2.90,0.95,EXITO
67,12.92,0.82,EXITO
68,6.60,1.08,EXITO
68,3.78,0.99,EXITO
69,0.41,1.02,EXITO
70,4.96,0.93,EXITO
69,11.21,0.85,EXITO
